timestamp,lat,long,acc
1505452585177, 47.5243486, 19.0727983, 40.7599983215332
1505452585889, 47.5243486, 19.0727983, 41.827999114990234
1505452586676, 47.5243486, 19.0727983, 43.00899887084961
1505452587468, 47.5243486, 19.0727983, 44.19599914550781
1505452588179, 47.5243486, 19.0727983, 45.26300048828125
1505452589074, 47.5243486, 19.0727983, 46.604000091552734
1505452589875, 47.5243486, 19.0727983, 47.80699920654297
1505452590689, 47.5243486, 19.0727983, 49.02799987792969
1505452591481, 47.5243486, 19.0727983, 50.2140007019043
1505452592370, 47.5243486, 19.0727983, 51.54999923706055
1505452593279, 47.5243486, 19.0727983, 52.91299819946289
1505452594184, 47.5243486, 19.0727983, 54.270999908447266
1505452595020, 47.5243486, 19.0727983, 55.525001525878906
1505452595981, 47.5243486, 19.0727983, 56.965999603271484
1505452596683, 47.5243486, 19.0727983, 58.01900100708008
1505452597492, 47.5243486, 19.0727983, 59.233001708984375
1505452598439, 47.5243486, 19.0727983, 60.65299987792969
1505452599299, 47.5243486, 19.0727983, 61.94300079345703
1505452600119, 47.5243486, 19.0727983, 63.17300033569336
1505452600932, 47.5243486, 19.0727983, 64.39299774169922
1505452601727, 47.5243486, 19.0727983, 65.58499908447266
1505452602594, 47.5243486, 19.0727983, 66.88500213623047
1505452603586, 47.5243486, 19.0727983, 68.37300109863281
1505452604404, 47.5243486, 19.0727983, 69.60099792480469
1505452605205, 47.5243486, 19.0727983, 70.802001953125
1505452606050, 47.5243486, 19.0727983, 72.06999969482422
1505452606898, 47.5243486, 19.0727983, 73.34200286865234
1505452607698, 47.5243486, 19.0727983, 74.54199981689453
1505452608610, 47.5243486, 19.0727983, 75.91000366210938
1505452609443, 47.5243486, 19.0727983, 77.15899658203125
1505452610221, 47.5243486, 19.0727983, 78.32599639892578
1505452610910, 47.5243486, 19.0727983, 79.36000061035156
1505452611745, 47.5243486, 19.0727983, 80.61199951171875
1505452612676, 47.5243486, 19.0727983, 82.00900268554688
1505452613292, 47.5243486, 19.0727983, 82.93299865722656
1505452613920, 47.5243486, 19.0727983, 83.875
1505452614612, 47.5243486, 19.0727983, 84.91100311279297
1505452615378, 47.5243486, 19.0727983, 86.06199645996094
1505452616417, 47.5243486, 19.0727983, 87.62000274658203
1505452617197, 47.5243486, 19.0727983, 88.79000091552734
1505452624740, 47.5241478, 19.0722045, 22.253999710083008
1505452625970, 47.5241478, 19.0722045, 15.734999656677246
